Week,Day,Description,Section,Section Type,Activity,Sets,Reps
,,,,8,Pull-Ups,2,18
,,,,8,Bicycle-Crunches,2,18
,,,PFT Training,13,Ammo-Can-Sprint,3,60 sec/45 sec/30 sec
,,,,6,Crunches,3,60 sec/45 sec/30 sec
,,,,4,Pull-Ups,3,12/10/08
,,,,5,Push-Ups,3,35/30/25
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 3 SETS | 14 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,3,14
,,,,8,Kettlebell-Swing,3,14
,,,,8,Lunges,3,14
,,,,8,Push-Ups,3,14
,,,,8,Push-Press,3,14
,,,,8,Pull-Ups,3,14
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
9,1,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - Run 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 45 min - 2 SETS | 20 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,20
,,,,8,Push-Ups,2,20
,,,,8,Mountain-Climbers,2,20
,,,,8,Crunches,2,20
,,,,8,Sprint,4,400 Meters
,,,,8,Star-Jumps,2,20
,,,,8,Pull-Ups,2,20
,,,,8,Bicycle-Crunches,2,20
,,,PFT Training,13,Ammo-Can-Sprint,3,60 sec/45 sec/30 sec
,,,,6,Crunches,3,60 sec/45 sec/30 sec
,,,,4,Pull-Ups,3,12/10/08
,,,,5,Push-Ups,3,35/30/25
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 3 SETS | 18 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,3,18
,,,,8,Kettlebell-Swing,3,18
,,,,8,Lunges,3,18
,,,,8,Push-Ups,3,18
,,,,8,Push-Press,3,18
,,,,8,Pull-Ups,3,18
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
10,1,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - Run 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 45 min -2 SETS | 20 REPS , PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,20
,,,,8,Push-Ups,2,20
,,,,8,Mountain-Climbers,2,20
,,,,8,Crunches,2,20
,,,,8,Sprint,4,400 Meters
,,,,8,Star-Jumps,2,20
,,,,8,Pull-Ups,2,20
,,,,8,Bicycle-Crunches,2,20
,,,PFT Training,13,Ammo-Can-Sprint,3,60 sec/45 sec/30 sec
,,,,6,Crunches,3,60 sec/45 sec/30 sec
,,,,4,Pull-Ups,3,12/10/08
,,,,5,Push-Ups,3,35/30/25
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 3 SETS | 20 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,3,20
,,,,8,Kettlebell-Swing,3,20
,,,,8,Lunges,3,20
,,,,8,Push-Ups,3,20
,,,,8,Push-Press,3,20
,,,,8,Pull-Ups,3,20
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 5-25 REPS, Cardio - 45 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,15/20/15
,,,,8,Knees-To-Chest,3,20/25/20
,,,,8,Air-Squats,3,20/25/20
,,,,8,Pull-Ups,3,5/8/05
,,,,8,Alt-Knee-To-Elbow,3,20/25/20
,,,,8,Box-Jumps,3,15/20/15
,,,,8,Tricep-Dips,3,15/20/15
,,,,8,Crunches,3,20/25/20
,,,,8,Lunges,3,10/15/10
,,,,8,Elbow-To-Hand-Plank,3,10/12/10
,,,,8,Planks,3,45 sec/60 sec/60 sec
,,,,8,Burpees,3,12/15/12
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
11,1,"Body Weight Circuit - 3 SETS | 3-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/10/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,3/5/03
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/10/08
,,,,8,Tricep-Dips,3,8/10/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/8/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,25 sec/30 sec/30 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 3-15 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/10/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,3/5/03
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/10/08
,,,,8,Tricep-Dips,3,8/10/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/8/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,25 sec/30 sec/30 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 30 min - 2 SETS | 10 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,20
,,,,8,Push-Ups,2,20
,,,,8,Mountain-Climbers,2,20
,,,,8,Crunches,2,20
,,,,8,Sprint,2,400 Meters
,,,,8,Star-Jumps,2,20
,,,,8,Pull-Ups,2,20
,,,,8,Bicycle-Crunches,2,20
,,,PFT Training,13,Ammo-Can-Sprint,3,30 sec/25 sec/15 sec
,,,,6,Crunches,3,30 sec/25 sec/15 sec
,,,,4,Pull-Ups,3,6/5/04
,,,,5,Push-Ups,3,20/15/10
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 2 SETS | 10 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,2,10
,,,,8,Kettlebell-Swing,2,10
,,,,8,Lunges,2,10
,,,,8,Push-Ups,2,10
,,,,8,Push-Press,2,10
,,,,8,Pull-Ups,2,10
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 3-15 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/10/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,3/5/03
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/10/08
,,,,8,Tricep-Dips,3,8/10/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/8/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,25 sec/30 sec/30 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
12,1,"Body Weight Circuit - 3 SETS | 3-15 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/10/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,3/5/03
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/10/08
,,,,8,Tricep-Dips,3,8/10/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/8/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,25 sec/30 sec/30 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 3-15 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/10/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,3/5/03
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/10/08
,,,,8,Tricep-Dips,3,8/10/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/8/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,25 sec/30 sec/30 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 30 min - 2 SETS | 10 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,10
,,,,8,Push-Ups,2,10
,,,,8,Mountain-Climbers,2,10
,,,,8,Crunches,2,10
,,,,8,Sprint,2,400 Meters
,,,,8,Star-Jumps,2,10
,,,,8,Pull-Ups,2,10
,,,,8,Bicycle-Crunches,2,10
,,,PFT Training,13,Ammo-Can-Sprint,3,30 sec/25 sec/15 sec
,,,,6,Crunches,3,30 sec/25 sec/15 sec
,,,,4,Pull-Ups,3,6/5/04
,,,,5,Push-Ups,3,20/15/10
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 2 SETS | 10 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,2,10
,,,,8,Kettlebell-Swing,2,10
,,,,8,Lunges,2,10
,,,,8,Push-Ups,2,10
,,,,8,Push-Press,2,10
,,,,8,Pull-Ups,2,10
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 3-15 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,8/10/08
,,,,8,Knees-To-Chest,3,10/15/10
,,,,8,Air-Squats,3,10/15/10
,,,,8,Pull-Ups,3,3/5/03
,,,,8,Alt-Knee-To-Elbow,3,10/15/10
,,,,8,Box-Jumps,3,8/10/08
,,,,8,Tricep-Dips,3,8/10/08
,,,,8,Crunches,3,10/15/10
,,,,8,Lunges,3,5/8/05
,,,,8,Elbow-To-Hand-Plank,3,5/6/05
,,,,8,Planks,3,25 sec/30 sec/30 sec
,,,,8,Burpees,3,6/8/06
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
